フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
バシロサウルス・イシス,キセキとくせい,与ダメージ増加,0.1,味方全体,自身がギブアップ状態でない,-,-,-,
バシロサウルス・イシス,とくせい,与ダメージ増加,0.1,味方全体,地形がみずべ,-,-,-,
バシロサウルス・イシス,とくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方,-,-,-,
カワラバト,キセキとくせい,与ダメージ増加,0.15,味方全体,マイペース属性の味方~~ギブアップ中ではないフレンズが3人以上,-,-,-,
カワラバト,とくせい,与ダメージ増加,4%×ギブアップ中ではない味方1人,自身を除く~~味方全体,マイペース属性の味方,-,-,-,
カワラバト,けものミラクル,与ダメージ増加,0.21,味方全体,マイペース属性の味方,5ターン,-,-,必要MP110
ナミチスイコウモリ,なないろとくせい,与ダメージ増加,0.1,味方全体,ラブリー属性の味方,-,-,-,
フクロミツスイ,キセキとくせい,与ダメージ増加,0.1,味方全体,ラブリー属性の味方,-,-,-,
フクロミツスイ,とくせい,与ダメージ増加,0.08,味方全体,ステージの時間が夜~~ラブリー属性の味方,-,-,-,
フクロミツスイ,けものミラクル,与ダメージ増加,0.07,味方全体,ラブリー属性の味方,6ターン,-,-,必要MP70
フクロミツスイ,けものミラクル,与ダメージ増加,0.07,味方全体,-,6ターン,-,-,必要MP70
イヌワシ,とくせい,与ダメージ増加,0.15,自身を除く~~味方全体,ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
ブタ,なないろとくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
ホルスタイン,なないろとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方~~ギブアップ中ではない味方が5人,-,-,-,
ビャクダ,とくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方~~ギブアップ中ではない味方が3人以上,-,-,-,
エナガ,キセキとくせい,与ダメージ増加,0.2,自身を除く~~味方全体,フレンドリー属性の味方~~ギブアップ中ではない味方が5人,-,-,-,
エナガ,けものミラクル,与ダメージ増加,0.21,味方全体,フレンドリー属性の味方,3ターン,-,-,必要MP110
エナガ,けものミラクル,与ダメージ増加,0.24,味方全体,-,2ターン,-,-,必要MP110
ゲンブ,なないろとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
ダイアウルフ,なないろとくせい,与ダメージ増加,0.15,味方全体,アクティブ属性の味方~~ぼんやりうっかり状態の相手,-,-,-,
ホッキョクウサギ,なないろとくせい,与ダメージ増加,0.1,味方全体,ラブリー属性の味方,-,-,-,
黒龍,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,-,3ターン,1,1回,
黒龍,けものミラクル,与ダメージ増加,0.24,味方全体,ファニー、ラブリー属性の味方,3ターン,-,-,必要MP200
黒龍,けものミラクル,与ダメージ増加,0.44,味方全体,-,3ターン,-,-,必要MP200
ホワイトサーバル(桃),とくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー、ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
マヌルネコ,なないろとくせい,与ダメージ増加,0.1,味方全体,リラックス属性の味方,-,-,-,
メガテリウム,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,マイペース属性の味方,-,-,-,
メガテリウム,とくせい,与ダメージ増加,0.1,味方全体,マイペース属性の味方,-,-,-,
モウコノウマ,キセキとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方~~自身のたいりょくが50%以上,-,-,-,
アリツカゲラ,なないろとくせい,与ダメージ増加,0.1,味方全体,アクティブ属性の味方~~たいりょくが50%以上,-,-,-,
ドルドン,とくせい,与ダメージ増加,0.1,味方全体,地形がみずべ,-,-,-,
ドルドン,たいきスキル,与ダメージ増加,0.1,味方全体,リラックス属性の味方,2ターン,1,1回,
【青い瞳の迷い猫】マヌルネコ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,アクティブ属性の味方,-,-,-,
【青い瞳の迷い猫】マヌルネコ,とくせい,与ダメージ増加,0.15,味方全体,アクティブ属性の味方,-,-,-,
【青い瞳の迷い猫】マヌルネコ,けものミラクル,与ダメージ増加,0.39,味方全体,-,3ターン,-,-,必要MP110
クラハシコウ,キセキとくせい,与ダメージ増加,0.15,自身を除く~~味方全体,-,-,-,-,
クラハシコウ,とくせい,与ダメージ増加,0.15,味方全体,マイペース属性の味方~~自身のたいりょくが50%以上,-,-,-,
クラハシコウ,たいきスキル,与ダメージ増加,0.1,味方全体,マイペース属性の味方,2ターン,1,2回,
クラハシコウ,けものミラクル,与ダメージ増加,0.3,味方全体,マイペース属性の味方,3ターン,-,-,必要MP130
