レア度,フォト名,属性,入手,実装日,ページURL,イラストレーター名,変化前アイコンURL,変化後アイコンURL,とくせい(変化前),とくせい(変化後),Lv.1たいりょく,Lv.1こうげき,Lv.1まもり,変化前たいりょく,変化前こうげき,変化前まもり,変化後たいりょく,変化後こうげき,変化後まもり,,EOH
2,４番バッター・ヒグマ,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/re9CLCSFB0.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/24PaTLBgKD.png,少し狙われやすくなる,少し狙われやすくなり、&color(red){被ダメージが3％減少する},140,105,192,305,229,419,420,315,576,,
3,あなたはだぁれ？,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/W27MR8JXTr.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/4v9Ui6BfQR.png,&color(#0075c8){たいりょくが50%以下のとき}すやすや耐性（中）が増加する,すやすや耐性（中）が増加する,427,222,78,990,515,179,1280,666,232,,
2,アンイン港フェリーターミナル,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/sEDRNbG8FF.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/jhMw7FjVtP.png,すやすや耐性（低）が増加する,すやすや耐性（低）と&color(red){くらくら耐性（低）}が増加する,134,101,202,292,219,441,401,301,606,,
3,いっしょにパオパオ,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/yYXpEpzDfg.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/6efWGAHsrW.png,たいりょくが30%以下のとき与ダメージが9%増加する,たいりょくが&color(red){60%以下}のとき与ダメージが9%増加する,305,241,119,708,559,275,915,723,355,,
2,うしろうしろ！,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/oCJ0F9Eo0W.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/YUrXWpS8zU.png,たいりょくが30％以下のとき~~相手全体の被ダメージを6％増加させる,たいりょくが&color(red){50％以下}のとき~~相手全体の被ダメージを6％増加させる,220,88,172,479,192,375,658,264,515,,
2,えんぶ！,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/Yo7sOt2ojQ.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/KQHl6ppDom.png,くたくた耐性（低）が増加し、与ダメージが2％上昇する,くたくた耐性（低）が増加し、与ダメージが&color(red){4％}上昇する,259,40,217,565,87,473,777,120,651,,
2,お気に入りの木陰,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/lVzMcZL2KN.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/eFhNyz91lF.png,&color(#0075c8){地形がサバンナの場合、}かいひが3％増加する,かいひが3％増加する,217,136,107,466,296,235,639,408,324,,
2,ガイドマップ,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/hIIosbySWn.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/_aRkyYoh5u.png,相手全体の攻撃命中率を1％減少させる,相手全体の攻撃命中率を&color(red){2％}減少させる,204,81,191,445,175,417,612,241,573,,
2,カフェタイム,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/uRtkEkLy2F.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/2PoEWOtdln.png,&color(#0075c8){ファニー(赤)、ラブリー(桃)属性の}~~味方のかいひが2％増加する,味方全体のかいひが2％増加する,249,132,95,543,287,206,746,395,283,,
4,カリスマ美容師アルパカ・スリ,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/o_oacqxSQq.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/DSEu96Dugw.png,与ダメージが5%増加し、毎ターンたいりょくが5%回復する,与ダメージが&color(red){7%}増加し、毎ターンたいりょくが&color(red){7%}回復する,670,218,156,1621,527,377,2010,654,468,,
3,こういうものだ！,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/4ksNdzCZUa.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/1FZZDMe3vq.png,&color(#0075c8){たいりょくが80%以下のとき}~~味方全体の被ダメージが7%減少する,味方全体の被ダメージが7%減少する,340,205,150,789,476,346,1020,615,448,,
2,ごろごろ,青,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/IeunSnsV_K.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/xenC5wgKfn.png,たいりょくが60％以下のときかいひが3％増加する,たいりょくが&color(red){80％}以下のときかいひが3％増加する,223,111,138,486,242,300,669,333,413,,
2,サンプル採取,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/VIdA4xFQgT.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/MMZp5O8A2c.png,くらくら耐性（低）が増加する,くらくら耐性（低）と&color(red){どく耐性（低）}が増加する,167,114,166,363,248,361,499,341,496,,
3,しあわせいっぱい,青,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/gEPdutaaGF.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/98Rgd30IwP.png,たいりょくが80%以上のときかいひが3%増加する,たいりょくが&color(red){60%以上}のときかいひが&color(red){4%}増加する,589,106,150,1366,246,348,1765,318,450,,
1,シビレ,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/WRCeXsbfim.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/qYSy43mJfs.png,なし,なし,30,60,90,64,123,194,100,190,304,,
3,ジャキーン！,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/HxvFEPJ_Cc.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/PNDTQqSJXw.png,毎ターン味方全体のたいりょくが1%回復する~~フレンドリー(緑)属性の味方の場合~~さらにたいりょくが1%回復する,毎ターン味方全体のたいりょくが1%回復する~~フレンドリー(緑)属性の味方の場合~~さらにたいりょくが&color(red){3%}回復する,138,284,152,319,658,352,412,851,455,,
3,ジャスティスなふたり,足跡,配布,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/Tuv489OXuA.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/L4ffhum_31.png,被ダメージが3%減少する,&color(red){味方全体の}被ダメージが3%減少する,244,191,100,565,441,230,730,570,298,,
2,ジャパまんスチーマー,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/7q1HGeaCSP.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/l5tinJMDev.png,くたくた耐性（低）が増加する,くたくた耐性（低）と&color(red){どく耐性（低）}が増加する,312,100,104,680,217,227,935,299,312,,
2,スタッフカー３号車,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/4tx2A3pxMc.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/GufK015Dl2.png,攻撃命中率が2％増加する,攻撃命中率が&color(red){4％}増加する,209,166,69,456,362,149,627,498,205,,
2,スタッフパス,足跡,恒常,2019/09/24,,,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/K9IrO9nY6h.png,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/0xfz9YQLx1.png,バトル開始時にMPが6増加する（発動回数：1回）,バトル開始時にMPが&color(red){8}増加する（発動回数：1回）,304,126,72,663,275,156,912,378,215,,
1,ゾウリムシ,足跡,恒常,2019/09/24,,,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/7iKt4mEVDK.png,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/bpOtaODGAU.png,なし,なし,100,59,72,197,115,141,300,175,214,,
