ID,フレンズ名,属性違い二つ名,HC,ページURL,属性,サブ属性,実装日,実装種別,実装種別詳細,一覧順,アイコンURL,初期けも級,野生大解放,12ポケ,特別衣装数,CV,かいひ,かいひ野生5,ぷらずむ,Beatフラッグ,Actionフラッグ,Tryフラッグ,Beat補正,Action補正,Try補正,Beat補正野生5,Action補正野生5,Try補正野生5,Lv最大けもステ,Lv最大たいりょく,Lv最大こうげき,Lv最大まもり,Lv90けもステ,Lv90たいりょく,Lv90こうげき,Lv90まもり,Lv99けもステ,Lv99たいりょく,Lv99こうげき,Lv99まもり,Lv90野生5けもステ,Lv90野生5たいりょく,Lv90野生5こうげき,Lv90野生5まもり,Lv99野生5けもステ,Lv99野生5たいりょく,Lv99野生5こうげき,Lv99野生5まもり,☆1Lv1たいりょく,☆1Lv1こうげき,☆1Lv1まもり,☆1Lv90たいりょく,☆1Lv90こうげき,☆1Lv90まもり,☆1Lv99たいりょく,☆1Lv99こうげき,☆1Lv99まもり,☆1野生解放1たいりょく,☆1野生解放1こうげき,☆1野生解放1まもり,☆1野生解放2たいりょく,☆1野生解放2こうげき,☆1野生解放2まもり,☆1野生解放3たいりょく,☆1野生解放3こうげき,☆1野生解放3まもり,☆1野生解放4たいりょく,☆1野生解放4こうげき,☆1野生解放4まもり,☆1野生解放5たいりょく,☆1野生解放5こうげき,☆1野生解放5まもり,☆1野生解放1-4合計たいりょく,☆1野生解放1-4合計こうげき,☆1野生解放1-4合計まもり,☆1野生解放1-5合計たいりょく,☆1野生解放1-5合計こうげき,☆1野生解放1-5合計まもり,Lv100+上昇パターン,けものミラクル技名,けものミラクル効果Lv1,けものミラクル効果Lv5,けものミラクル必要MP,けものミラクル＋,とくいわざ技名,とくいわざ効果,たいきスキル技名,たいきスキル効果,たいきスキル発動率,たいきスキル発動回数,とくせい技名,とくせい効果,キセキとくせい技名,キセキとくせい効果,なないろとくせい技名,なないろとくせい効果,自己紹介テキスト,ずかんテキスト,動物フォト属性,動物フォトとくせい効果変化前,動物フォトとくせい効果変化後
サーバル？,サーバル？,,,,アクティブ,,,ゲスト専用,,-1,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/GB4CrTl1sy.png,1,,,0,,0.01,,30,2,"20,20",40,0,0,0,,,,,,,,25868,11000,4400,1934,,,,,,,,,,,,,5000,10,352,10000,4000,1758,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
セーバル(NPC),セーバル(NPC),,,https://seesaawiki.jp/kemono_friends3_5ch/d/%A5%BB%A1%BC%A5%D0%A5%EB,マイペース,,,ゲスト専用,,-1,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/6JM2Fb43VX.png,1,,,0,,0.01,,20,2,"20,20",30,0.06,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,2000,800,450,10000,4000,2200,,,,,,,,,,,,,,,,,,,6804,3133,1653,,,,,,,,,,,,,,,,,,,,,,,,,,
ドール,ドール,,,,フレンドリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),配布,初期,1,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/UEXm5ELgn2.png,1,〇,,7,,0.06,0.062,30,2,"15,25",30,0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,25247,9923,4582,1781,38796,15252,7044,2731,41005,16120,7445,2887,,,,,45057,17712,8181,3172,1404,648,260,8420,3888,1507,9209,4253,1649,,,,,,,,,,,,,1447,669,259,5445,2515,975,6892,3184,1234,こうげき+50型,,,,,,,,,,,,,,,,親愛なる私のおともだちへ,自身の与ダメージが10%増加し~~毎ターンたいりょくが4%回復する~~さらに自身が状態異常でないとき~~自身の与ダメージが15%増加する,,,,,
ミーアキャット,ミーアキャット,,,,ファニー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),配布,初期,2,https://image02.seesaawiki.jp/k/h/kemono_friends3_5ch/F74f20chzp.png,1,〇,,5,,0.06,0.062,20,2,25,"20,30",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,23322,10384,3536,2203,35824,15960,5434,3377,37867,16868,5744,3570,,,,,,,,,1469,500,322,8811,2999,1864,9636,3280,2039,,,,,,,,,,,,,1514,516,321,5698,1941,1206,7212,2457,1527,,,,,,,,,,,,,,,,,わかるまでもう一度！,ファニー(赤)属性の味方の与ダメージが15%増加する~~さらに自身のたいりょくが40%以下のとき~~自身の被ダメージが20%減少し~~毎ターン自身のMPが3増加する,,,,,
ヤマバク,ヤマバク,,,,マイペース,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,3,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/91_xiccfsF.png,3,〇,,2,,0.01,0.012,10,2,25,"20,20",0.05,0.05,0.06,0.060000000000000005,0.060000000000000005,0.06999999999999999,24957,12057,3769,2002,34826,16830,5262,2788,36809,17789,5561,2947,,,,,,,,,1549,484,266,9292,2904,1538,10163,3176,1683,,,,,,,,,,,,,1597,500,265,6008,1879,996,7605,2379,1261,たいりょく+50型,,,,,,,,,,,,,,,,夜空で繋いだ光,マイペース(水)属性の味方のあせあせ耐性(中)が増加する~~さらにステージの時間が夜の場合~~毎ターンマイペース(水)属性の味方のMPが2増加する,,,,,
オジロヌー,オジロヌー,,,,リラックス,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,4,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fDV8gypTUT.png,2,〇,,3,,0.01,0.012,20,1,20,"20,30,30",0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,23144,10311,3961,1506,32308,14393,5529,2103,34145,15211,5844,2222,,,,,,,,,1325,509,194,7945,3051,1160,8689,3337,1269,911,350,133,1171,450,171,1496,575,219,1561,600,228,1366,525,200,5139,1975,751,6505,2500,951,たいりょく+50型,,,,,,,,,,,,,,,,しっぽで見分けるの！,自身を除く味方全体の与ダメージが10％増加する,,,,,
オグロヌー,オグロヌー,,,,リラックス,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,5,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/tOEI8a5I8x.png,2,〇,,2,,0.01,0.012,10,2,"5,25",30,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,26331,10971,3924,2891,36742,15315,5478,4028,38836,16186,5791,4257,,,,,,,,,1409,504,384,8454,3023,2222,9246,3307,2431,969,347,255,1246,446,328,1592,570,419,1661,594,437,1453,520,382,5468,1957,1439,6921,2477,1821,こうげき+40型,,,,,,,,,,,,,,,,毎日、の～んびりと♪,自身の被ダメージが15％減少し~~毎ターン自身のたいりょくが3％回復する,,,,,
チャップマンシマウマ,チャップマンシマウマ,,,,フレンドリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,6,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/wmPhhP6k8w.png,2,〇,,1,,0.06,0.062,40,2,"20,20",40,0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,24765,10260,4381,1707,34572,14322,6116,2383,36544,15138,6465,2519,38186,15817,6756,2632,,,,,1318,563,219,7907,3376,1314,8648,3693,1438,906,387,151,1165,498,194,1489,636,248,1553,663,259,1359,581,226,5113,2184,852,6472,2765,1078,こうげき+40型,,,,,,,,,,,,,,,,とびっきりのおしゃれモード♪,自身がギブアップ状態でないとき~~味方全体の与ダメージが7％増加する,,,,,
アメリカレア,アメリカレア,,,,ファニー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,7,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/szC2DzMZSp.png,2,〇,,2,,0.01,0.012,30,1,"20,20","20,30",0.05,0.06,0.05,0.060000000000000005,0.06999999999999999,0.060000000000000005,26705,9201,4940,2262,37277,12843,6896,3157,39402,13573,7289,3338,,,,,,,,,1182,635,291,7089,3806,1742,7753,4163,1906,813,437,200,1045,561,257,1335,717,328,1393,748,343,1219,655,300,4586,2463,1128,5805,3118,1428,こうげき+50型,,,,,,,,,,,,,,,,探究心はとまらない,ファニー(赤)属性の味方のあせあせ耐性(中)が増加する~~さらに自身のたいりょくが70％以下のとき~~毎ターン自身のMPが3増加する,,,,,
カリフォルニアアシカ,カリフォルニアアシカ,,,,フレンドリー,,Tue Sep 24 2019 00:00:00 GMT+0900 (日本標準時),恒常,初期,8,https://image01.seesaawiki.jp/k/h/kemono_friends3_5ch/fw4yW0wP3m.png,2,〇,,2,,0.01,0.012,20,2,"20,25",30,0.06,0.05,0.05,0.06999999999999999,0.060000000000000005,0.060000000000000005,25975,11302,4027,2426,36246,15778,5621,3380,38310,16675,5942,3572,,,,,,,,,1452,517,322,8711,3102,1865,9527,3393,2040,998,356,214,1283,458,275,1640,584,351,1711,610,367,1497,534,321,5632,2008,1207,7129,2542,1528,たいりょく+50型,,,,,,,,,,,,,,,,芸の腕を磨くわ！,味方前列の与ダメージが15％増加する,,,,,
