掛け合い元,掛け合い先1,掛け合い先2,掛け合い先3,掛け合い先4,掛け合い先5,掛け合い先6,掛け合い先7,掛け合い先8,掛け合い先9,掛け合い先10,掛け合い先11
サーバル？,フェネック,アライグマ,,,,,,,,,
ドール,マイルカ,ミーアキャット,ハクトウワシ,ライオン,,,,,,,
ミーアキャット,ドール,マイルカ,ハクトウワシ,ライオン,,,,,,,
ヤマバク,マレーバク,,,,,,,,,,
オジロヌー,オグロヌー,チャップマンシマウマ,,,,,,,,,
オグロヌー,オジロヌー,チャップマンシマウマ,,,,,,,,,
チャップマンシマウマ,サバンナシマウマ,オグロヌー,オジロヌー,アミメキリン,アードウルフ,,,,,,
アメリカレア,ダチョウ,,,,,,,,,,
カリフォルニアアシカ,カリフォルニアラッコ,,,,,,,,,,
ダチョウ,アメリカレア,チーター,,,,,,,,,
オオアルマジロ,オオセンザンコウ,,,,,,,,,,
アメリカビーバー,,,,,,,,,,,
ミナミコアリクイ,マレーバク,ブラックジャガー,ヒメアリクイ,オオアリクイ,,,,,,,
マレーバク,ミナミコアリクイ,ヤマバク,ブラックジャガー,,,,,,,,
サバンナシマウマ,チャップマンシマウマ,ライオン,アミメキリン,アードウルフ,,,,,,,
ハクトウワシ,オオタカ,ハシビロコウ,ドール,ミーアキャット,マイルカ,ライオン,ブラックバック,アフリカオニネズミ,,,
マイルカ,シロナガスクジラ,シナウスイロイルカ,バンドウイルカ,イッカク,ドール,ミーアキャット,ハクトウワシ,ライオン,,,
アフリカゾウ,オオフラミンゴ,,,,,,,,,,
クロサイ,シロサイ,ホワイトライオン,パラケラテリウム,,,,,,,,
オオフラミンゴ,アフリカゾウ,,,,,,,,,,
シロサイ,クロサイ,トキ,ギンギツネ,サーバル,ソンサーバル,ドラゴンサーバル,,,,,
オグロプレーリードッグ,,,,,,,,,,,
カリフォルニアラッコ,カリフォルニアアシカ,,,,,,,,,,
コツメカワウソ,ニホンカワウソ,,,,,,,,,,
トキ,ショウジョウトキ,クロトキ,シロサイ,ギンギツネ,サーバル,ソンサーバル,,,,,
ヒツジ,,,,,,,,,,,
オオタカ,ハクトウワシ,ハシビロコウ,,,,,,,,,
トナカイ,ヘラジカ,,,,,,,,,,
クジャク,,,,,,,,,,,
ツチノコ,スナネコ,アカミミガメ,,,,,,,,,
スナネコ,ツチノコ,クロヒョウ,,,,,,,,,
ロイヤルペンギン,イワトビペンギン,ジェンツーペンギン,フンボルトペンギン,コウテイペンギン,ジャイアントペンギン,アゴヒゲアザラシ,,,,,
ギンギツネ,キタキツネ,オイナリサマ,アカギツネ,ホワイトライオン,シロサイ,トキ,トムソンガゼル,サーバル,セーバル,カラカル,ソンサーバル
アルパカ・スリ,アルパカ・ワカイヤ,,,,,,,,,,
ジャガー,ブラックジャガー,,,,,,,,,,
アライグマ,フェネック,サーバル？,ホワイトサーバル,,,,,,,,
フェネック,アライグマ,サーバル？,ホワイトサーバル,,,,,,,,
ブラックジャガー,ミナミコアリクイ,マレーバク,ジャガー,,,,,,,,
シロナガスクジラ,マイルカ,シナウスイロイルカ,イッカク,バンドウイルカ,,,,,,,
ヒグマ,キンシコウ,アイアイ,ホッキョクグマ,ヘラジカ,トラ,,,,,,
タイリクオオカミ,,,,,,,,,,,
